Name	Brand	Diameter	Weight	Falls	ImpForce	StatElong	DynElong
joker	Beal	9.1	53	5	8.2	8	37
stinger3	Beal	9.4	59	7	8.2	9.5	37
booster3	Beal	9.7	63	8	7.3	9.7	38
tiger	Beal	10	63	9	7.3	10	37
flyer2	Beal	10.2	64	9	7.4	9.6	38
edlinger	Beal	10.2	65	7	8	9.5	35
topgun	Beal	10.5	68	11	7.4	9.5	37
wallmaster	Beal	10.5	67	8	8.4	8.5	36
apolo	Beal	11	75	16	7.7	11	35
dominator	BlueWater	9.4	55	7	8.3	4.2	32
lightning	BlueWater	9.7	61	8	7.8	8.9	32
pulse	BlueWater	9.9	62	7	7.8	8.4	35
eliminator	BlueWater	10.2	65	8	8	8.5	32
slimline	BlueWater	10.3	66	8	8.6	9.2	35
accelerator	BlueWater	10.5	68	11	8	7.2	32
enduro	BlueWater	11	77	15	8.5	9.1	34
kite	Edelrid	9.2	55	5	8.7	9	33
falcon	Edelrid	9.4	58	6	8.7	8.3	31
eagle	Edelrid	9.8	62	8	9.4	7.6	34
boa	Edelrid	9.8	61	5	8.8	9.3	32
bamba	Edelrid	9.8	61	6	8.8	9.3	32
harrier	Edelrid	10	67	8	9	8.4	31
python	Edelrid	10	64	6	8.9	9.1	33
hawk	Edelrid	10	63	7	8.8	8	34
cobra	Edelrid	10.3	69	8	9	7.1	31
taipan	Edelrid	10.3	68	8	8.9	9.8	33
osprey	Edelrid	10.5	71	10	9.2	9.2	33
extrem2	Edelweiss	9	52	15	5.8	11	35
performance	Edelweiss	9.2	53	5	8.2	8	37
energy	Edelweiss	9.5	58	7	7.8	9.5	37
laser	Edelweiss	9.6	61	6	8	7.5	32
curve	Edelweiss	9.8	61	9	7.8	9.4	37
onsight	Edelweiss	9.9	64	8	8.4	7	32
flashlight	Edelweiss	10	65	6	9	6.2	33
oflex	Edelweiss	10.2	65	8	8.2	9.5	35
element2	Edelweiss	10.2	66	12	7.8	9.5	37
axis	Edelweiss	10.3	71	10	8.5	7.4	33
geos	Edelweiss	10.5	71	12	8	9.2	36
magnetic	Edelweiss	11	58	14	8	9	35
serenity	Mammut	8.9	52	5	9.5	7	29
revelation	Mammut	9.2	55	6	9.3	7.2	29
infinity	Mammut	9.5	58	7	9.1	6.8	29
climax	Mammut	9.6	64	5	9.3	7	29
tusk	Mammut	9.8	63	7	9.1	6.8	30
galaxy	Mammut	10	66	8	9.2	7	30
passion	Mammut	10	67	6	9.4	6.5	30
supersafe	Mammut	10.2	69	12	8.8	5.7	30
gym	Mammut	10.2	68	8	8.5	9	33
apex	Mammut	10.5	70	8	9.5	6.8	31
superflash	Mammut	10.5	71	10	9	6.5	31
monster10.2	Metolius	10.2	66	12	8.3	7.4	34
monster9.8	Metolius	9.8	64	9	8.5	7.6	35
monster9.2	Metolius	9.2	53	5	6.8	9	35
magma	Millet	9.4	56	6	8.3	9	35
cristal	Millet	9.8	63	7	8.6	9.8	33
silver	Millet	9.8	63	6	8.6	6.2	32
lowimpact	Millet	10	70	5	9.3	6.3	32
diamax	Millet	10.2	66	7	8.8	9.7	32
diamond	Millet	10.4	70	11	8.6	8	29
taurus	Millet	10.4	71	7	9.4	7	35
pinacle	NewEngland	9.5	61	7	10.3	5	26
apex9.9	NewEngland	9.9	63	7	9.5	5	29
apex10.2	NewEngland	10.2	66	9	9.8	4.5	29
gym10.2	NewEngland	10.2	69	7	9.8	6	26
apex10.5	NewEngland	10.5	70	12	9.4	4.8	29
gym10.8	NewEngland	10.8	78	8	9.7	6.2	29
apex11	NewEngland	11	75	15	9.6	4.8	29
nomad	Petzl	9.8	63	7	8.6	9.8	33
fuse	Petzl	9.4	56	6	8.2	7.2	34
zephyr	Petzl	10.3	67	10	7.2	6	33
elite	PMI	9.4	57	7	7.9	5.6	34
synergy	PMI	9.9	64	7	7.9	9.5	34
spire	PMI	10.2	69	11	7.9	6.2	34
wall 	PMI	10.6	69	8	8.2	6.8	34
cirque	PMI	10.6	71	12	8.1	7.7	34
latitude	PMI	11	81	16	8.5	7.2	34
duran	SingingRock	10.4	69	9	9.1	7.1	31
glory	SingingRock	9.8	62	6	8.9	7.9	36
mania	SingingRock	9.7	62	9	7.6	7.6	37
score	SingingRock	10.1	66	8	9.1	7	32
wallter	SingingRock	10.4	70	8	9.3	7.1	31
nano	Sterling	9.2	53	6	8.4	7.5	32
ion2	Sterling	9.4	57	5	8.1	9.5	35
velocity	Sterling	9.8	62	6	8.8	8.6	27
biapro	Sterling	10.1	63	6	8.6	8.4	35
marapro	Sterling	10.1	63	6	8.6	8.4	35
kosmos	Sterling	10.2	67	8	8.8	7.6	31
biasport	Sterling	10.4	69	7	9.3	8.4	29
maraultra	Sterling	10.7	70	8	8.6	8.6	36
maramega	Sterling	11	79	9	8.7	9.4	31
master9.2	Tendon	9.2	53	5	6.8	9	35
master9.4	Tendon	9.4	58	6	7	8.9	35
master9.7	Tendon	9.7	61	9	7.6	7.6	35
ambition9.8	Tendon	9.8	64	9	7.6	7.6	35
ambition10	Tendon	10	65	9	7.2	7.1	33
ambition10.2	Tendon	10.2	66	12	8	7.4	35
ambition10.4	Tendon	10.4	71	8	8.2	6	39
ambition10.5	Tendon	10.5	68	10	8.5	7.2	35
indor	Tendon	10.4	72	7	8	7.5	35
trust11	Tendon	11	78	16	8.4	7	35
trust11.4	Tendon	11.4	83	20	8.6	6.5	36
