DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2008/01/12 11:51:40.27,38.8342,-119.6562,0.62,3.05,ML,25,97,8,0.10,NCSN,51194455
2008/01/19 17:18:46.47,40.1672,-122.7593,10.99,4.50,Mw,27,37,7,0.32,NCSN,51194914
2008/01/19 18:14:57.11,40.1523,-122.7590,11.95,3.43,ML,23,57,6,0.28,NCSN,51194919
2008/01/19 23:10:15.52,40.1507,-122.7567,11.56,3.42,ML,25,41,6,0.30,NCSN,51194935
2008/01/19 23:13:05.43,40.1777,-122.7037,2.87,4.70,Mw,33,32,4,1.04,NCSN,51194936
2008/01/19 23:36:46.67,40.1410,-122.7658,10.52,3.38,ML,23,42,7,0.26,NCSN,51194944
2008/01/24 05:22:21.82,40.3172,-125.8490,32.00,3.12,Md,27,312,130,0.34,NCSN,51195202
2008/01/24 21:03:45.89,38.8133,-122.8158,2.83,3.21,ML,61,31,1,0.09,NCSN,51195230
2008/01/29 04:05:41.94,40.1755,-121.0185,8.00,3.22,ML,64,80,18,0.20,NCSN,40210287
2008/02/01 04:56:28.42,36.0662,-120.1848,18.01,3.56,ML,76,48,7,0.12,NCSN,40210467
2008/02/03 10:49:18.94,35.5012,-120.7830,4.05,3.07,ML,71,43,10,0.14,NCSN,40210595
2008/02/07 13:31:43.21,37.6390,-122.4858,9.60,3.12,ML,150,85,1,0.13,NCSN,51195984
2008/02/08 06:51:10.82,35.6582,-121.0435,8.27,3.14,ML,77,69,5,0.10,NCSN,51196031
2008/02/22 10:37:52.23,40.6148,-125.5063,25.99,3.17,ML,31,292,100,0.17,NCSN,71100731
2008/02/23 09:23:47.64,41.1877,-127.3478,5.00,3.45,Md,17,316,277,0.34,NCSN,71100826
2008/02/24 05:32:10.27,38.8193,-122.8100,2.99,4.00,Mw,60,41,2,0.08,NCSN,51197011
2008/02/24 13:00:21.64,40.8832,-123.8647,12.00,3.37,ML,9,194,71,0.10,NCSN,71100926
