team,played,wins,draws,losses,goals_for,goals_against,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
Barcelona,38,30,4,4,110,21,16,1,2,64,11,14,3,2,46,10
Real Madrid,38,30,2,6,118,38,16,2,1,65,15,14,0,5,53,23
Atletico Madrid,38,23,9,6,67,29,14,3,2,42,11,9,6,4,25,18
Valencia,38,22,11,5,70,32,15,3,1,42,10,7,8,4,28,22
Seville,38,23,7,8,71,45,13,5,1,38,13,10,2,7,33,32
Villarreal,38,16,12,10,48,37,12,1,6,29,17,4,11,4,19,20
Athletic Bilbao,38,15,10,13,42,41,8,6,5,28,20,7,4,8,14,21
Celta Vigo,38,13,12,13,47,44,8,5,6,30,22,5,7,7,17,22
Malaga,38,14,8,16,42,48,8,6,5,26,20,6,2,11,16,28
Espanyol,38,13,10,15,47,51,8,6,5,23,19,5,4,10,24,32
Rayo Vallecano,38,15,4,19,46,68,8,2,9,26,26,7,2,10,20,42
Real Sociedad,38,11,13,14,44,51,9,5,5,29,21,2,8,9,15,30
Elche,38,11,8,19,35,62,6,3,10,19,31,5,5,9,16,31
Levante,38,9,10,19,34,67,6,6,7,20,30,3,4,12,14,37
Getafe,38,10,7,21,33,64,6,5,8,16,22,4,2,13,17,42
Deportivo La Coruna,38,7,14,17,35,60,5,6,8,22,30,2,8,9,13,30
Granada,38,7,14,17,29,64,4,10,5,13,17,3,4,12,16,47
Eibar,38,9,8,21,34,55,5,3,11,20,29,4,5,10,14,26
Almeria,38,8,8,22,35,64,3,7,9,20,28,5,1,13,15,36
Cordoba,38,3,11,24,22,68,1,6,12,12,33,2,5,12,10,35
