POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
354-20160,-,0,Grey,SS,Y,N,SFMTA,ON,0,2016,CHESTNUT ST,3977000,Area 5,Marina,"(37.8007983983, -122.4368696024)"
354-21030,-,0,Green,SS,Y,N,SFMTA,ON,0,2103,CHESTNUT ST,3979000,Area 5,Marina,"(37.8005223990, -122.4380665996)"
354-21160,-,0,Yellow,SS,Y,N,SFMTA,ON,0,2116,CHESTNUT ST,3979000,Area 5,Marina,"(37.8005888005, -122.4385250003)"
363-05250,-,0,Grey,SS,N,N,SFMTA,ON,0,525,COLUMBUS AVE,4295000,Area 3,,"(37.8000532974, -122.4099854023)"
363-05270,-,0,Grey,SS,N,N,SFMTA,ON,0,527,COLUMBUS AVE,4295000,Area 3,,"(37.8000875012, -122.4100349003)"
464-04120,-,0,Grey,SS,Y,N,SFMTA,ON,0,412,HAYES ST,6816000,Area 5,Civic Center,"(37.7768775978, -122.4235122015)"
464-04200,-,0,Grey,SS,Y,N,SFMTA,ON,0,420,HAYES ST,6816000,Area 5,Civic Center,"(37.7768342019, -122.4238470026)"
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3,,"(37.7939895996, -122.4087761004)"
324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,BATTERY ST,2767000,MC3,,"(37.8015414988, -122.4015675017)"
324-08080,-,0,Grey,SS,N,N,SFMTA,ON,0,808,BATTERY ST,2763000,Area 3,,"(37.7988029064, -122.4010146148)"
464-05130,-,0,Grey,SS,Y,N,SFMTA,ON,0,513,HAYES ST,6817000,Area 5,Civic Center,"(37.7765466020, -122.4251310990)"
607-32220,-,0,Grey,SS,Y,N,SFMTA,ON,0,3222,PIERCE ST,10445000,Area 5,Marina,"(37.8000210998, -122.4393882022)"
652-32030,-,0,Grey,SS,Y,N,SFMTA,ON,0,3203,SCOTT ST,11715000,Area 5,Marina,"(37.7994166025, -122.4411103984)"
652-32090,-,0,Yellow,SS,Y,N,SFMTA,ON,0,3209,SCOTT ST,11715000,Area 5,Marina,"(37.7995750987, -122.4411433001)"
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3,,"(37.7717493986, -122.4089402013)"
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3,,"(37.7712515973, -122.4083153025)"
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3,,"(37.7711418000, -122.4081772973)"
