"","Name","Neighborhood","lat","long","Rating","Stars","Reviews","Address","Zip","Groups","Credit","Parking","Attire","Price","Kids","Reservation","Deliver","TakeOut","Waiter","Outdoor","Wifi","Meal","Alcohol","Noise","TV","Catter","Ambience","Wheelchair"
"1","Star Meats","Claremont","37.854741","-122.248190","4.5 star rating","4.5","91","3068 Claremont Ave","94705","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","No","","","Yes"
"2","Ashby Marketplace","Claremont","37.856723","-122.253521","4.5 star rating","4.5","29","2642 Ashby Ave","94705","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","","","","Quiet","No","Yes","Casual","Yes"
"3","Holy Land Restaurant","Claremont","37.856905","-122.253026","4.0 star rating","4.0","205","2965 College Ave","94705","No","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","Quiet","No","","Casual","Yes"
"4","Trattoria La Siciliana","Claremont","37.856187","-122.252944","3.5 star rating","3.5","736","2993 College Ave","94705","No","No","Street","Casual","$$","No","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Very Loud","No","Yes","Casual","No"
"5","Summer Kitchen & Bake Shop","Claremont","37.857268","-122.253295","4.0 star rating","4.0","146","2944 College Ave","94705","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","No","Yes","Casual","Yes"
"6","Be Bop","Claremont","37.856636","-122.252987","4.0 star rating","4.0","22","2975 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","No","","Yes","Yes","No","","Dinner","No","Average","No","","Casual",""
"7","House of Curries","Claremont","37.856445","-122.252990","3.5 star rating","3.5","354","2984 College Ave","94705","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch, Dinner","No","Average","No","","Casual","Yes"
"8","Manpuku","Claremont","37.856606","-122.253003","3.5 star rating","3.5","719","2977 College Ave","94705","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"9","Gordo Taqueria","Claremont","37.856287","-122.252954","4.0 star rating","4.0","370","2989 College Ave","94705","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"10","La Mediterranee","Claremont","37.857597","-122.253124","3.5 star rating","3.5","652","2936 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"11","Rick & Ann's Restaurant","Claremont","37.858602","-122.243920","3.5 star rating","3.5","427","2922 Domingo Ave","94705","No","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Breakfast","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"12","King Yen Restaurant","Claremont","37.856136","-122.252962","3.5 star rating","3.5","107","2995 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Lunch, Dinner","Beer & Wine Only","Quiet","No","","Romantic, Casual","Yes"
"13","Paragon Bar & Caf̩ at the Claremont Resort","Claremont","37.857477","-122.242020","3.5 star rating","3.5","296","41 Tunnel Rd","94705","Yes","Yes","Private Lot","Casual","$$$","No","Yes","No","No","Yes","Yes","Free","Dinner","Full Bar","Loud","Yes","","Casual","Yes"
"14","Espresso Roma","Claremont","37.857061","-122.253041","3.5 star rating","3.5","151","2960 College Ave","94705","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch","Beer & Wine Only","Average","No","","Casual","Yes"
"15","Fresh And Best","Claremont","37.858722","-122.243919","3.5 star rating","3.5","9","Domingo Square Behind Rick & Ann2924 Domingo Ave","94705","No","No","","Casual","$","Yes","No","No","Yes","Yes","Yes","","Lunch","No","Quiet","No","","","Yes"
"16","Mitama Restaurant","Claremont","37.851260","-122.252462","3.5 star rating","3.5","127","3201 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","Free","Dinner","Beer & Wine Only","Average","No","","","Yes"
"17","Shen Hua","Claremont","37.858002","-122.253163","3.0 star rating","3.0","231","2914 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Full Bar","Average","No","","Casual","Yes"
"18","Saks","Claremont","37.861748","-122.253526","4.5 star rating","4.5","3","2701 College Avenue","94705","Yes","Yes","","","$","Yes","No","No","","No","No","Free","","No","Average","No","","",""
"19","Filippo's","Claremont","37.857800","-122.252998","3.0 star rating","3.0","175","2930 College Ave","94705","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"20","Viva Taqueria","Claremont","37.858782","-122.245002","2.0 star rating","2.0","52","2984 Russell St","94705","No","Yes","Private Lot","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","Beer & Wine Only","Average","No","","","Yes"
"21","Ristorante Toscano","Claremont","37.856499","-122.252998","","","","2985 College Avenue","","","","","","","","","","","","","","","","","","","",""
"22","A G Ferrari Catering","Claremont","37.858398","-122.252998","","","","2905 College Avenue","","","","","","","","","","","","","","","","","","","",""
"23","Daniel and Lilly's","Claremont","37.853625","-122.253197","5.0 star rating","5.0","1","2638 Woolsey St","","","","","","","","","","","","","","","","","","","",""
"24","Voulez-Vous","Claremont","37.857800","-122.252998","","","","2930 College Avenue","","","","","","","","","","","","","","","","","","","",""
"25","Troy Greek Cuisine","Claremont","37.856384","-122.252964","5.0 star rating","5.0","2","2985 College Ave","","No","Yes","","Casual","$","No","","","Yes","Yes","No","No","","Beer & Wine Only","Quiet","No","","",""
"26","Cinnaholic","Downtown Berkeley","37.870201","-122.265901","4.5 star rating","4.5","300","2132 Oxford St","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Dessert","No","Quiet","No","Yes","Hipster, Casual","Yes"
"27","Brazil Fresh Squeeze Cafe","Downtown Berkeley","37.872684","-122.266634","4.5 star rating","4.5","466","2161 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","Yes","Yes","Yes","Yes","No","Lunch","No","Average","No","No","Casual","Yes"
"28","OctoberFeast Bakery","Downtown Berkeley","37.871666","-122.271684","4.0 star rating","4.0","43","1954 University Ave","","No","No","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Quiet","No","No","","Yes"
"29","Andy and Cindy's Thai Cuisine","Downtown Berkeley","37.869689","-122.272789","4.5 star rating","4.5","28","Berkeley Farmer's MarketCtr St at Martin Luther King","","Yes","No","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","","","","","Yes"
"30","New Amsterdam Coffeeshop","Downtown Berkeley","37.871405","-122.271467","4.0 star rating","4.0","69","1952 University Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","Free","Lunch","No","Quiet","Yes","No","Hipster","Yes"
