name,brand,price,weight,height,bestuse,seasons,capacity
big-agnes-fly-creek-ul2-tent,big-agnes,349.95,960,96,Backpacking,3-season,2-person
big-agnes-fly-creek-ul3-tent,big-agnes,449.95,1450,107,Backpacking,3-season,3-person
kelty-salida-2-tent,kelty,159.95,1700,102,Backpacking,3-season,2-person
big-agnes-jack-rabbit-sl3-tent,big-agnes,359.95,2160,107,Backpacking,3-season,3-person
rei-passage-2-tent,rei,149,2210,107,Backpacking,3-season,2-person
big-agnes-copper-spur-ul2-tent,big-agnes,399.95,1530,107,Backpacking,3-season,2-person
marmot-limelight-3-tent,marmot,249,2690,117,Backpacking,3-season,3-person
big-agnes-fly-creek-ul4-tent,big-agnes,499.95,1840,114,Backpacking,3-season,4-person
rei-half-dome-4-tent,rei,259,3200,122,Backpacking,3-season,4-person
big-agnes-fly-creek-ul1-tent,big-agnes,299.95,850,97,Backpacking,3-season,1-person
rei-half-dome-2-plus-tent,rei,199,2500,107,Backpacking,3-season,2-person
rei-quarter-dome-t2-plus-tent,rei,299,1930,104,Backpacking,3-season,2-person
rei-camp-dome-2-tent,rei,99.5,2240,107,Backpacking,3-season,2-person
rei-half-dome-2-tent,rei,179,2270,102,Backpacking,3-season,2-person
big-agnes-lynx-pass-1-tent,big-agnes,179.95,1590,94,Backpacking,3-season,1-person
marmot-limelight-2-tent,marmot,199,2100,104,Backpacking,3-season,2-person
rei-quarter-dome-t3-tent,rei,329,2130,109,Backpacking,3-season,3-person
big-agnes-copper-spur-ul4-tent,big-agnes,599.95,2520,127,Backpacking,3-season,4-person
big-agnes-copper-spur-ul3-tent,big-agnes,499.95,1900,112,Backpacking,3-season,3-person
rei-quarter-dome-t3-plus-tent,rei,349,2350,112,Backpacking,3-season,3-person
sierra-designs-zia-3-tent-package,sierra-designs,239,2920,114,Backpacking,3-season,3-person
msr-hubba-1p-tent,msr,249.95,1280,102,Backpacking,3-season,1-person
big-agnes-jack-rabbit-sl2-tent,big-agnes,279.95,1730,102,Backpacking,3-season,2-person
north-face-ve-25-tent,north-face,579,4900,100,Mountaineering,4-season,3-person
nemo-losi-3p-tent,nemo,399.95,2640,122,Backpacking,3-season,3-person
