name,model,brand,price,bestuse,seasons,design,capacity,doors,canopy.fabric,canopy.coated,canopy.material,canopy.weave,canopy.mesh,floor.fabric,rainfly.fabric,number.poles,pole.type,pole.alucar,weight,height
big-agnes-fly-creek-ul2-tent,fly-creek-ul2,big-agnes,349.95,Backpacking,3-season,Freestanding,2-person,1-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,960,96
big-agnes-fly-creek-ul3-tent,fly-creek-ul3,big-agnes,449.95,Backpacking,3-season,Freestanding,3-person,1-door,Ripstop nylon/no-see-um mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1450,107
kelty-salida-2-tent,salida-2,kelty,159.95,Backpacking,3-season,Freestanding,2-person,1-door,Polyester,uncoated,polyester,none,no-mesh,floor-nylon,fly-polyester,2-pole,pressfit,aluminum,1700,102
big-agnes-jack-rabbit-sl3-tent,jack-rabbit-sl3,big-agnes,359.95,Backpacking,3-season,Freestanding,3-person,2-door,Nylon/polyester mesh,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,2-pole,other,aluminum,2160,107
rei-passage-2-tent,passage-2,rei,149,Backpacking,3-season,Freestanding,2-person,2-door,Nylon taffeta / mesh,uncoated,nylon,taffeta,mesh,floor-nylon,fly-polyester,2-pole,other,aluminum,2210,107
big-agnes-copper-spur-ul2-tent,copper-spur-ul2,big-agnes,399.95,Backpacking,3-season,Freestanding,2-person,2-door,Ripstop nylon/polyester mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1530,107
marmot-limelight-3-tent,limelight-3,marmot,249,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop polyester,uncoated,polyester,ripstop,no-mesh,floor-nylon,fly-polyester,3-pole,pressfit,aluminum,2690,117
big-agnes-fly-creek-ul4-tent,fly-creek-ul4,big-agnes,499.95,Backpacking,3-season,Freestanding,4-person,1-door,Ripstop nylon/no-see-um mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1840,114
rei-half-dome-4-tent,half-dome-4,rei,259,Backpacking,3-season,Freestanding,4-person,2-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-polyester,3-pole,other,aluminum,3200,122
big-agnes-fly-creek-ul1-tent,fly-creek-ul1,big-agnes,299.95,Backpacking,3-season,Freestanding,1-person,1-door,Nylon/mesh,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,850,97
rei-half-dome-2-plus-tent,half-dome-2-plus,rei,199,Backpacking,3-season,Freestanding,2-person,2-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-polyester,3-pole,other,aluminum,2500,107
rei-quarter-dome-t2-plus-tent,quarter-dome-t2-plus,rei,299,Backpacking,3-season,Freestanding,2-person,2-door,Ripstop nylon/no-see-um mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1930,104
rei-camp-dome-2-tent,camp-dome-2,rei,99.5,Backpacking,3-season,Freestanding,2-person,2-door,Nylon taffeta,uncoated,nylon,taffeta,no-mesh,floor-nylon,fly-polyester,3-pole,other,aluminum,2240,107
rei-half-dome-2-tent,half-dome-2,rei,179,Backpacking,3-season,Freestanding,2-person,2-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-polyester,3-pole,other,aluminum,2270,102
big-agnes-lynx-pass-1-tent,lynx-pass-1,big-agnes,179.95,Backpacking,3-season,Freestanding,1-person,1-door,Ripstop polyester/polyester mesh,uncoated,polyester,ripstop,mesh,floor-polyester,fly-nylon,2-pole,other,aluminum,1590,94
marmot-limelight-2-tent,limelight-2,marmot,199,Backpacking,3-season,Freestanding,2-person,1-door,Ripstop polyester,uncoated,polyester,ripstop,no-mesh,floor-nylon,fly-polyester,3-pole,pressfit,aluminum,2100,104
rei-quarter-dome-t3-tent,quarter-dome-t3,rei,329,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,2130,109
big-agnes-copper-spur-ul4-tent,copper-spur-ul4,big-agnes,599.95,Backpacking,3-season,Freestanding,4-person,2-door,Nylon/polyester mesh,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,2520,127
big-agnes-copper-spur-ul3-tent,copper-spur-ul3,big-agnes,499.95,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon/polyester mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1900,112
rei-quarter-dome-t3-plus-tent,quarter-dome-t3-plus,rei,349,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,2350,112
sierra-designs-zia-3-tent-package,zia-3-package,sierra-designs,239,Backpacking,3-season,Freestanding,3-person,2-door,Polyester,uncoated,polyester,none,no-mesh,floor-nylon,fly-polyester,3-pole,pressfit,aluminum,2920,114
msr-hubba-1p-tent,hubba-1p,msr,249.95,Backpacking,3-season,Freestanding,1-person,1-door,Nylon mesh/ripstop nylon,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,other,aluminum,1280,102
big-agnes-jack-rabbit-sl2-tent,jack-rabbit-sl2,big-agnes,279.95,Backpacking,3-season,Freestanding,2-person,2-door,Nylon/polyester mesh,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,2-pole,other,aluminum,1730,102
the-north-face-ve-25-tent,ve-25,the-north-face,579,Mountaineering,4-season,Freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,5-pole,featherlite,aluminum,4900,100
nemo-losi-3p-tent,losi-3p,nemo,399.95,Backpacking,3-season,Freestanding,3-person,2-door,No-see-um mesh/silicone and polyurethane-coated nylon,coated,nylon,none,mesh,floor-nylon,fly-nylon,4-pole,featherlite,aluminum,2640,122
big-agnes-seedhouse-sl2-tent,seedhouse-sl2,big-agnes,319.95,Backpacking,3-season,Freestanding,2-person,1-door,Nylon mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,1300,97
msr-hubba-hubba-2p-tent,hubba-hubba-2p,msr,299.95,Backpacking,3-season,Freestanding,2-person,2-door,Polyester mesh/ripstop nylon,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,1-pole,other,aluminum,1810,102
big-agnes-seedhouse-sl1-tent,seedhouse-sl1,big-agnes,249.95,Backpacking,3-season,Freestanding,1-person,1-door,Nylon mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,1080,96
marmot-limelight-4-tent,limelight-4,marmot,299,Backpacking,3-season,Freestanding,4-person,2-door,Ripstop polyester,uncoated,polyester,ripstop,no-mesh,floor-nylon,fly-polyester,4-pole,pressfit,aluminum,3770,127
rei-quarter-dome-t1-tent,quarter-dome-t1,rei,199,Backpacking,3-season,Freestanding,1-person,1-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1280,94
nemo-obi-2p-tent,obi-2p,nemo,389.95,Backpacking,3-season,Freestanding,2-person,2-door,Coated nylon / mesh,coated,nylon,none,mesh,floor-nylon,fly-nylon,1-pole,other,aluminum,1360,107
big-agnes-string-ridge-2-tent,string-ridge-2,big-agnes,499.95,Backpacking,4-season,Freestanding,2-person,1-door,Nylon ripstop,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,3-pole,featherlite,other,2270,107
rei-mountain-3-tent,mountain-3,rei,399,Mountaineering,4-season,Freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-polyester,5-pole,other,aluminum,4000,112
the-north-face-tadpole-23-tent,tadpole-23,the-north-face,199,Backpacking,3-season,Freestanding,2-person,1-door,Nylon mesh,uncoated,other,none,mesh,floor-nylon,fly-polyester,3-pole,pressfit,aluminum,2100,104
rei-cirque-asl-2-tent,cirque-asl-2,rei,309,Backpacking,3-4-season,Freestanding,2-person,2-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,2270,102
rei-arete-3-asl-tent,arete-3-asl,rei,339,Backpacking,3-4-season,Freestanding,3-person,1-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,4-pole,featherlite,aluminum,2690,112
the-north-face-mountain-25-tent,mountain-25,the-north-face,499,Mountaineering,4-season,Freestanding,2-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-polyester,5-pole,featherlite,aluminum,3860,104
rei-arete-asl-2-tent,arete-asl-2,rei,299,Backpacking,3-4-season,Freestanding,2-person,1-door,Ripstop nylon/mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,4-pole,featherlite,aluminum,2410,102
the-north-face-phoenix-2-tent,phoenix-2,the-north-face,299,Backpacking,3-season,Freestanding,2-person,2-door,Coated ripstop polyester/polyester no-see-um mesh,coated,polyester,ripstop,mesh,floor-nylon,no-fly,3-pole,other,aluminum,1640,99
msr-carbon-reflex-3-tent,carbon-reflex-3,msr,599.95,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon/nylon mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,3-pole,carbon,carbon,1960,117
marmot-eos-1p-tent,eos-1p,marmot,219,Backpacking,3-season,Freestanding,1-person,1-door,No-see-um mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1250,91
big-agnes-lynx-pass-2-tent,lynx-pass-2,big-agnes,199.95,Backpacking,3-season,Freestanding,2-person,1-door,Ripstop polyester/polyester mesh,uncoated,polyester,ripstop,mesh,floor-polyester,fly-nylon,2-pole,pressfit,aluminum,2210,96
msr-carbon-reflex-2-tent,carbon-reflex-2,msr,499.95,Backpacking,3-season,Non-freestanding,2-person,1-door,Ripstop nylon/nylon mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,2-pole,carbon,carbon,1220,100
nemo-morpho-1p-tent,morpho-1p,nemo,369.95,Backpacking,3-season,Non-freestanding,1-person,1-door,Silicone and polyurethane-coated nylon/polyester laminate,coated,nylon,none,no-mesh,floor-nylon,no-fly,none,other,other,1670,94
rei-mountain-2-tent,mountain-2,rei,349,Mountaineering,4-season,Freestanding,2-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-polyester,5-pole,other,aluminum,3630,113
nemo-espri-3p-tent,espri-3p,nemo,369.95,Backpacking,3-season,Freestanding,3-person,1-door,No-see-um mesh/nylon,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,2040,101
nemo-espri-2p-tent,espri-2p,nemo,299.95,Backpacking,3-season,Freestanding,2-person,1-door,No-see-um mesh/nylon,uncoated,nylon,none,mesh,floor-nylon,fly-nylon,2-pole,featherlite,aluminum,1560,101
nemo-obi-1p-tent,obi-1p,nemo,349.95,Backpacking,3-season,Freestanding,1-person,1-door,Coated nylon/mesh,coated,nylon,none,mesh,floor-nylon,fly-nylon,1-pole,featherlite,aluminum,1130,107
msr-holler-3-tent,holler-3,msr,399.95,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,2-pole,other,aluminum,2720,114
nemo-losi-2p-tent,losi-2p,nemo,339.95,Backpacking,3-season,Freestanding,2-person,2-door,No-see-um mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,4-pole,featherlite,aluminum,2210,117
msr-carbon-reflex-1-tent,carbon-reflex-1,msr,449.95,Backpacking,3-season,Non-freestanding,1-person,1-door,Ripstop nylon/nylon mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,2-pole,carbon,carbon,960,94
nemo-meta-2p-tent,meta-2p,nemo,369.95,Backpacking,3-season,Non-freestanding,2-person,2-door,Mesh/coated nylon,coated,nylon,none,mesh,floor-nylon,fly-nylon,none,other,other,1300,109
msr-mutha-hubba-tent,mutha-hubba,msr,399.95,Backpacking,3-season,Freestanding,3-person,2-door,Ripstop nylon/nylon mesh,uncoated,nylon,ripstop,mesh,floor-nylon,fly-nylon,3-pole,other,aluminum,2890,117
big-agnes-soda-mountain-sl-tent,soda-mountain-sl,big-agnes,599.95,Backpacking,3-season,Freestanding,4-person,1-door,Polyester mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,1-pole,other,aluminum,3600,178
kelty-gunnison-31-tent,gunnison-31,kelty,229.95,Backpacking,3-season,Freestanding,3-person,2-door,Polyester taffeta,uncoated,polyester,taffeta,no-mesh,floor-nylon,fly-polyester,1-pole,featherlite,aluminum,2670,117
msr-fury-2-tent,fury-2,msr,499.95,Mountaineering,4-season,Freestanding,2-person,1-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,4-pole,other,aluminum,2780,114
the-north-face-big-fat-frog-24-tent,big-fat-frog-24,the-north-face,259,Backpacking,3-season,Freestanding,2-person,1-door,No-see-um mesh,uncoated,other,none,mesh,floor-nylon,fly-polyester,4-pole,pressfit,aluminum,2580,108
kelty-gunnison-21-tent,gunnison-21,kelty,189.95,Backpacking,3-season,Freestanding,2-person,2-door,Polyester taffeta,uncoated,polyester,taffeta,no-mesh,floor-nylon,fly-polyester,1-pole,featherlite,aluminum,2210,102
nemo-morpho-2p-tent,morpho-2p,nemo,429.95,Backpacking,3-season,Non-freestanding,2-person,1-door,Coated nylon,coated,nylon,none,no-mesh,floor-nylon,fly-nylon,none,other,other,2400,107
marmot-aura-2p-tent,aura-2p,marmot,299,Backpacking,3-season,Freestanding,2-person,2-door,No-see-um mesh,uncoated,other,none,mesh,floor-nylon,fly-nylon,4-pole,other,aluminum,1980,102
marmot-alpinist-2-tent,alpinist-2,marmot,495,Mountaineering,4-season,Freestanding,2-person,1-door,3-layer polyester laminate,uncoated,polyester,none,no-mesh,floor-nylon,no-fly,3-pole,other,other,2240,102
big-agnes-burn-ridge-outfitter-2-tent,burn-ridge-outfitter-2,big-agnes,189.95,Backpacking,3-season,Freestanding,2-person,1-door,Ripstop polyester/polyester mesh,uncoated,polyester,ripstop,mesh,floor-nylon,fly-nylon,2-pole,other,aluminum,2130,97
sierra-designs-lightning-ht-3-tent,lightning-ht-3,sierra-designs,349.95,Backpacking,3-season,Freestanding,3-person,2-door,Nylon,uncoated,nylon,none,no-mesh,floor-nylon,fly-nylon,2-pole,featherlite,aluminum,2350,117
marmot-widi-3-tent,widi-3,marmot,499,Backpacking,3-season,Non-freestanding,3-person,2-door,Ripstop nylon,uncoated,nylon,ripstop,no-mesh,floor-nylon,fly-nylon,3-pole,featherlite,aluminum,3060,90
msr-fast-stash-shelter,fast-stash-shelter,msr,299.95,Backpacking,3-season,Non-freestanding,2-person,1-door,Coated ripstop nylon,coated,nylon,ripstop,no-mesh,floor-nylon,no-fly,2-pole,other,aluminum,1020,122
big-agnes-king-creek-6-tent,king-creek-6,big-agnes,449.95,Carcamping,3-season,Freestanding,6-person,2-door,Ripstop polyester/polyester mesh,uncoated,polyester,ripstop,mesh,floor-polyester,fly-polyester,3-pole,pressfit,aluminum,7455.9,183
rei-hobitat-4-tent,hobitat-4,rei,269,Carcamping,3-season,Freestanding,4-person,1-door,Coated polyester,coated,polyester,none,no-mesh,floor-nylon,fly-polyester,3-pole,other,aluminum,6832.2,182
rei-kingdom-6-tent,kingdom-6,rei,399,Carcamping,3-season,Freestanding,6-person,2-door,Nylon taffeta,uncoated,nylon,taffeta,no-mesh,floor-polyester,fly-polyester,3-pole,other,aluminum,7796.1,188
marmot-limestone-4p-tent,limestone-4p,marmot,299,Carcamping,3-season,Freestanding,6-person,1-door,Polyester taffeta/no-see-um mesh,uncoated,polyester,taffeta,mesh,floor-polyester,fly-polyester,4-pole,pressfit,aluminum,4961.2,152
rei-base-camp-6-tent,base-camp-6,rei,399,Carcamping,3-season,Freestanding,6-person,2-door,Nylon taffeta,uncoated,nylon,taffeta,no-mesh,floor-polyester,fly-polyester,5-pole,other,aluminum,7796.1,188
marmot-limestone-6p-tent,limestone-6p,marmot,389,Carcamping,3-season,Freestanding,6-person,2-door,Polyester taffeta/no-see-um mesh,uncoated,polyester,taffeta,mesh,floor-polyester,fly-polyester,4-pole,pressfit,aluminum,6945.6,183
rei-kingdom-4-tent,kingdom-4,rei,349,Carcamping,3-season,Freestanding,4-person,2-door,Nylon taffeta,uncoated,nylon,taffeta,no-mesh,floor-polyester,fly-polyester,3-pole,other,aluminum,6350.3,170
big-agnes-big-house-4-tent,big-house-4,big-agnes,299.95,Carcamping,3-season,Freestanding,4-person,2-door,Coated polyester ripstop,coated,polyester,ripstop,no-mesh,floor-polyester,fly-polyester,5-pole,other,aluminum,4904.5,172
